CIN,COMPANY_NAME,STATE,SOURCE,FIELD,SOURCE_URL
U29308GJ2021PTC126798,HARI KRISHANA INNOVATION PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29308GJ2021PTC126798
U29308GJ2022PTC136395,POWERFUL ENGIMACH PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29308GJ2022PTC136395
U45202GJ2000PTC037818,FAIRMATE CONSTRUCTION PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45202GJ2000PTC037818
U45202GJ2004PTC043463,B T INFRASTRUCTURE PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45202GJ2004PTC043463
U45202GJ2006PTC048295,ABHINANDAN INFRASTRUCTURE PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45202GJ2006PTC048295
U45202GJ2008PTC052939,OTHELLO REALTY PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45202GJ2008PTC052939
U45202GJ2008PTC054179,SILVERSTONE REALTY PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45202GJ2008PTC054179
U45202GJ2011PTC066793,PATEL BRIDGE NIRMAN PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45202GJ2011PTC066793
U45202GJ2012PTC071916,SPARTAN BUILDERS PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45202GJ2012PTC071916
U45202GJ2013PTC073442,BN PRECAST PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45202GJ2013PTC073442
U45203GJ2000PTC038476,NARMADA SITES PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45203GJ2000PTC038476
U45203GJ2006PTC049005,SHREE RADHE ENGINEERS AND CONTRACTORS PV T. LTD.,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45203GJ2006PTC049005
U45203GJ2012PTC072596,MANSI CORPORATION PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45203GJ2012PTC072596
U45203GJ2012PTC072744,SANYAM BUILD INFRA PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45203GJ2012PTC072744
U45205GJ2007NPL050681,PANOLI INDUSTRIAL INFRASTRUCTURE PROJECTS LTD.,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45205GJ2007NPL050681
U45205GJ2015PTC085444,D&C TRANSITLOGISTICS & INFRASPACE PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45205GJ2015PTC085444
U45208GJ2021PTC125693,RAJMANI CONSTRUCTIONS PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45208GJ2021PTC125693
U45209GJ1998PTC035000,RIYA REALITIES PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45209GJ1998PTC035000
U45209GJ1999PTC035919,JIVANDIP CONSTRUCTION PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45209GJ1999PTC035919
U45209GJ2008PTC054828,SHAPOORJI PALLONJI AND OEG SERVICES PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45209GJ2008PTC054828
U45209GJ2009SGC056466,GUJARAT INDUSTRIAL CORRIDOR CORPORATION LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45209GJ2009SGC056466
U45209GJ2010PLC062151,WORLDVOICE HI-TECH INFRACON LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45209GJ2010PLC062151
U45209GJ2011PTC064668,JMH TECHNOCRATE PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45209GJ2011PTC064668
U45209GJ2012PTC071790,RSP BUILDTECH PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45209GJ2012PTC071790
U45209GJ2015PTC084178,IRON ROAD INFRACON PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45209GJ2015PTC084178
U45209GJ2018PTC103684,JEDVIL PROJECTS PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45209GJ2018PTC103684
U45209GJ2019PTC109213,BUILDARK PROJECTS PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45209GJ2019PTC109213
U45209GJ2020PTC118716,HARIOM BUILDERS PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45209GJ2020PTC118716
U45209GJ2021PTC125113,BIG SHOT INFRA FACILITIES PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U45209GJ2021PTC125113
